City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,3.81,70,78,14.65,TF,1706633019
1,yellowknife,62.456,-114.3525,-4.77,100,100,6.71,CA,1706633019
2,albany,42.6001,-73.9662,0.37,84,90,2.19,US,1706632892
3,sinabang,2.4803,96.3801,27.04,81,98,2.14,ID,1706633019
4,ust-nera,64.5667,143.2,-35.31,100,99,0.55,RU,1706633019
5,hudson,40.7168,-74.0663,3.5,64,100,4.12,US,1706632995
6,grytviken,-54.2811,-36.5092,5.81,71,31,6.27,GS,1706633020
7,edinburgh of the seven seas,-37.0676,-12.3116,14.82,60,28,7.24,SH,1706633020
8,la passe,45.5549,-0.8967,16.13,82,28,0.97,FR,1706633020
9,hamburg,53.55,10.0,10.16,86,75,4.63,DE,1706632807
10,gadzhiyevo,69.2551,33.3362,3.53,75,96,13.6,RU,1706633020
11,villa allende,-31.2946,-64.2954,37.84,38,20,5.66,AR,1706633020
12,argo,37.6333,22.7333,3.84,95,86,3.2,GR,1706633021
13,adamstown,-25.066,-130.1015,23.31,89,100,9.33,PN,1706633021
14,atafu village,-8.5421,-172.5159,29.1,70,88,2.14,TK,1706633021
15,olyokminsk,60.3736,120.4264,-38.47,100,37,1.41,RU,1706633021
16,chulym,55.0997,80.9572,-14.11,95,100,3.88,RU,1706633021
17,stanley,54.868,-1.6985,5.77,83,20,4.12,GB,1706633022
18,guerrero negro,27.9769,-114.0611,19.95,45,1,1.73,MX,1706633022
19,mitu,1.1983,-70.1733,27.79,73,100,0.68,CO,1706633022
20,kodiak,57.79,-152.4072,-16.27,60,0,1.54,US,1706633022
21,longyearbyen,78.2186,15.6401,-4.09,68,75,4.63,SJ,1706633022
22,sakaiminato,35.55,133.2333,3.96,93,75,2.57,JP,1706633022
23,iqaluit,63.7506,-68.5145,-19.06,70,75,4.12,CA,1706633023
24,blackmans bay,-43.0167,147.3167,15.07,75,49,2.7,AU,1706633023
25,bethel,41.3712,-73.414,2.42,67,100,1.54,US,1706633023
26,jamestown,42.097,-79.2353,2.77,91,100,6.69,US,1706632804
27,new norfolk,-42.7826,147.0587,15.72,84,60,1.6,AU,1706633023
28,aljezur,37.3191,-8.8033,16.79,73,75,4.35,PT,1706633024
29,illapel,-31.6308,-71.1653,30.29,42,0,4.13,CL,1706633024
30,ajdabiya,30.7554,20.2263,10.74,69,38,3.98,LY,1706633024
31,puerto natales,-51.7236,-72.4875,14.25,72,100,2.57,CL,1706633024
32,nar'yan-mar,67.6713,53.087,-2.72,93,99,6.71,RU,1706633024
33,vokhtoga,58.8147,41.0461,-4.07,92,15,2.77,RU,1706633024
34,baruun-urt,46.6806,113.2792,-33.29,96,10,1.48,MN,1706633025
35,popovaca,44.6392,15.1792,2.93,65,18,1.21,HR,1706633025
36,iskateley,67.6803,53.1512,-2.77,93,99,6.71,RU,1706633025
37,monrovia,6.3005,-10.7969,32.87,69,95,5.68,LR,1706633025
38,lebu,-37.6167,-73.65,18.45,63,0,6.37,CL,1706633025
39,anadyr,64.75,177.4833,-29.72,76,40,1.0,RU,1706633026
40,batie,9.8833,-2.9167,35.36,10,85,2.73,BF,1706633026
41,aasiaat,68.7098,-52.8699,-32.67,99,89,4.0,GL,1706632772
42,nuuk,64.1835,-51.7216,-14.66,56,75,9.26,GL,1706633026
43,tazovsky,67.4667,78.7,-19.12,93,83,7.68,RU,1706633026
44,vila franca do campo,37.7167,-25.4333,18.27,99,26,3.0,PT,1706633027
45,daru,-9.0763,143.2092,26.43,88,100,2.96,PG,1706633027
46,choyr,46.3611,108.3611,-26.78,100,95,0.16,MN,1706633027
47,tazacorte,28.629,-17.9293,20.54,73,0,1.54,ES,1706633027
48,pingyi,35.5006,117.6308,2.77,92,32,0.45,CN,1706633028
49,mount pearl,47.5166,-52.7813,-5.02,80,100,9.26,CA,1706633028
50,kayenta,36.7278,-110.2546,6.97,54,0,1.27,US,1706633028
51,qaqortoq,60.7167,-46.0333,-21.1,76,0,2.44,GL,1706633028
52,port alfred,-33.5906,26.891,21.77,86,100,1.34,ZA,1706633028
53,mokhsogollokh,61.4681,128.9203,-32.65,96,83,1.87,RU,1706633029
54,thinadhoo,0.5333,72.9333,27.72,79,17,3.57,MV,1706633029
55,traralgon,-38.1833,146.5333,10.42,92,1,1.41,AU,1706632749
56,naantali,60.4674,22.0243,1.32,100,100,2.57,FI,1706633029
57,puerto ayacucho,5.6639,-67.6236,36.34,35,68,2.1,VE,1706633029
58,constantia,44.1833,28.65,-1.62,71,83,5.97,RO,1706633029
59,invercargill,-46.4,168.35,8.9,93,47,0.45,NZ,1706633030
60,kerikeri,-35.2268,173.9474,17.17,89,12,2.64,NZ,1706633030
61,isafjordur,66.0755,-23.124,-2.98,93,75,2.57,IS,1706633030
62,brookings,44.3114,-96.7984,1.14,89,0,2.06,US,1706633030
63,fray luis beltran,-39.3167,-65.7667,36.8,17,42,2.1,AR,1706633030
64,udachny,66.4167,112.4,-30.05,100,85,1.26,RU,1706633031
65,uturoa,-16.7333,-151.4333,28.28,74,99,1.76,PF,1706633031
66,kingston,17.997,-76.7936,29.53,65,20,4.02,JM,1706632931
67,vorgashor,67.5833,63.95,-13.66,95,100,5.47,RU,1706633031
68,tual,-5.6667,132.75,28.66,77,31,7.68,ID,1706633031
69,margaret river,-33.95,115.0667,15.38,87,1,4.45,AU,1706633031
70,puerto ayora,-0.7393,-90.3518,29.98,75,77,4.95,EC,1706633032
71,bayombong,16.4833,121.1333,17.93,95,29,0.8,PH,1706633032
72,tiksi,71.6872,128.8694,-28.62,99,57,2.28,RU,1706633032
73,waitangi,-43.9535,-176.5597,16.57,98,100,2.24,NZ,1706633032
74,vredendal,-31.6683,18.5012,26.95,43,10,8.3,ZA,1706633032
75,sisimiut,66.9395,-53.6735,-24.55,84,56,6.16,GL,1706633033
76,yartsevo,55.0667,32.6964,-4.07,97,100,1.17,RU,1706633033
77,petropavlovsk-kamchatsky,53.0452,158.6483,-14.67,94,75,2.68,RU,1706633033
78,st. john's,47.5649,-52.7093,-4.56,79,100,9.26,CA,1706633033
79,ushuaia,-54.8,-68.3,13.79,97,100,3.22,AR,1706632980
80,alice springs,-23.7,133.8833,31.75,21,24,4.63,AU,1706633033
81,puerto armuelles,8.2833,-82.8667,32.99,66,54,1.34,PA,1706633034
82,punta arenas,-53.15,-70.9167,15.01,82,75,6.17,CL,1706632930
83,songea,-10.6833,35.65,18.86,95,97,0.85,TZ,1706633034
84,talnakh,69.4865,88.3972,-17.11,80,99,4.96,RU,1706633034
85,columbus,39.9612,-82.9988,2.81,86,100,6.69,US,1706632885
86,lorengau,-2.0226,147.2712,27.56,82,88,4.23,PG,1706633035
87,labytnangi,66.6572,66.4183,-14.87,96,100,3.44,RU,1706633035
88,camayenne,9.535,-13.6878,32.05,51,66,4.12,GN,1706633035
